audit,strategy,model,protected_attribute,metric,value,ci_low,ci_high,p_value,significant,n_disadvantaged,n_advantaged,small_sample_warning,note
ai_fair_recruitment,baseline,logistic_regression,gender,demographic_parity_diff,-0.06555690919543475,-0.07372358211091862,-0.05740101183769435,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,logistic_regression,gender,disparate_impact_ratio,0.5272967974979395,0.48219606186525427,0.5742296301594224,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,logistic_regression,gender,equal_opportunity_diff,-0.12102900908460626,-0.14105606529310777,-0.09943832299823062,0.0,True,2066,3897,False,
ai_fair_recruitment,baseline,logistic_regression,gender,equalized_odds_diff,-0.12102900908460626,-0.14105606529310777,-0.09943832299823062,0.0,True,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,baseline,logistic_regression,gender,predictive_parity_diff,-0.0011586966263363863,-0.04691443009410405,0.04296187824082968,0.9625,False,615,2032,False,
ai_fair_recruitment,baseline,logistic_regression,gender,accuracy_equality_diff,0.014979161411979525,0.0035764520871535976,0.026787340253451992,0.01,True,8410,14652,False,
ai_fair_recruitment,baseline,random_forest,gender,demographic_parity_diff,-0.04769847136077815,-0.05856910648081873,-0.036869910257246764,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,random_forest,gender,disparate_impact_ratio,0.7882197274625551,0.7450954843738385,0.8329555064287831,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,random_forest,gender,equal_opportunity_diff,-0.05806300723792546,-0.08223430799525339,-0.03285801921253499,0.0,True,2066,3897,False,
ai_fair_recruitment,baseline,random_forest,gender,equalized_odds_diff,-0.05806300723792546,-0.08223430799525339,-0.03285801921253499,0.0,True,2066,3897,False,driven_by_tpr_gap
ai_fair_recruitment,baseline,random_forest,gender,predictive_parity_diff,-0.008763116767135537,-0.03860630416692039,0.022644527999350458,0.5615,False,1493,3300,False,
ai_fair_recruitment,baseline,random_forest,gender,accuracy_equality_diff,0.025148957194141563,0.013178672673321885,0.0374910138762696,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,gradient_boosting,gender,demographic_parity_diff,-0.06089947909210691,-0.06892504235399598,-0.05306237163549887,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,gradient_boosting,gender,disparate_impact_ratio,0.5187205415582926,0.47062429359917507,0.5683550753607967,0.0,True,8410,14652,False,
ai_fair_recruitment,baseline,gradient_boosting,gender,equal_opportunity_diff,-0.11103224090017866,-0.13124598972923543,-0.09000258594927812,0.0,True,2066,3897,False,
ai_fair_recruitment,baseline,gradient_boosting,gender,equalized_odds_diff,-0.11103224090017866,-0.13124598972923543,-0.09000258594927812,0.0,True,2066,3897,False,driven_by_tpr_gap
