audit,strategy,protected_attribute,metric,mean_value,n_models_significant,n_models
ai_fair_recruitment,baseline,gender,accuracy_equality_diff,0.018759582195967517,3,3
ai_fair_recruitment,baseline,gender,demographic_parity_diff,-0.05805161988277327,3,3
ai_fair_recruitment,baseline,gender,disparate_impact_ratio,0.6114123555062624,3,3
ai_fair_recruitment,baseline,gender,equal_opportunity_diff,-0.09670808574090346,3,3
ai_fair_recruitment,baseline,gender,equalized_odds_diff,-0.09670808574090346,3,3
ai_fair_recruitment,baseline,gender,predictive_parity_diff,-0.00035830063258781203,0,3
ai_fair_recruitment,in_processing,gender,accuracy_equality_diff,0.016937984357722757,3,3
ai_fair_recruitment,in_processing,gender,demographic_parity_diff,-0.006099143138382131,0,3
ai_fair_recruitment,in_processing,gender,disparate_impact_ratio,0.9435337532870739,0,3
ai_fair_recruitment,in_processing,gender,equal_opportunity_diff,-0.0009265697221358948,0,3
ai_fair_recruitment,in_processing,gender,equalized_odds_diff,-0.0023908232387731265,0,3
ai_fair_recruitment,in_processing,gender,predictive_parity_diff,-0.014498129640443613,0,3
ai_fair_recruitment,post_processing,gender,accuracy_equality_diff,0.018585589156338306,3,3
ai_fair_recruitment,post_processing,gender,demographic_parity_diff,-0.012045685291820846,3,3
ai_fair_recruitment,post_processing,gender,disparate_impact_ratio,0.8764537162379428,3,3
ai_fair_recruitment,post_processing,gender,equal_opportunity_diff,-0.011804986799900599,0,3
ai_fair_recruitment,post_processing,gender,equalized_odds_diff,-0.014524796503309588,1,3
ai_fair_recruitment,post_processing,gender,predictive_parity_diff,-0.0022972091847536604,0,3
ai_fair_recruitment,unawareness,gender,accuracy_equality_diff,0.01772886820449245,3,3
ai_fair_recruitment,unawareness,gender,demographic_parity_diff,-0.0062165289275871866,0,3
ai_fair_recruitment,unawareness,gender,disparate_impact_ratio,0.9522260262099498,0,3
ai_fair_recruitment,unawareness,gender,equal_opportunity_diff,0.003025469571707027,0,3
ai_fair_recruitment,unawareness,gender,equalized_odds_diff,0.00116562618774575,0,3
ai_fair_recruitment,unawareness,gender,predictive_parity_diff,-0.011391648469388782,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,accuracy_equality_diff,0.017969921061478693,3,3
ai_fair_recruitment,unawareness_proxy_removal,gender,demographic_parity_diff,-0.006538161770028593,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,disparate_impact_ratio,0.9390780576144864,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,equal_opportunity_diff,0.00013877844989274948,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,equalized_odds_diff,-0.006008141284380282,0,3
ai_fair_recruitment,unawareness_proxy_removal,gender,predictive_parity_diff,-0.009741256115463984,0,3
benefits_denial,baseline,age,accuracy_equality_diff,-0.05162690610755871,3,3
benefits_denial,baseline,age,demographic_parity_diff,0.04106830537894905,2,3
benefits_denial,baseline,age,disparate_impact_ratio,1.2801946396733037,2,3
benefits_denial,baseline,age,equal_opportunity_diff,-0.02349896480331261,0,3
benefits_denial,baseline,age,equalized_odds_diff,-0.02349896480331261,0,3
benefits_denial,baseline,age,predictive_parity_diff,-0.008750823918788342,0,3
benefits_denial,baseline,age_x_race,intersectional_demographic_parity_diff,-0.028022354293540736,0,3
benefits_denial,baseline,national_origin,accuracy_equality_diff,0.030513690654423293,2,3
benefits_denial,baseline,national_origin,demographic_parity_diff,0.032569950427521054,1,3
benefits_denial,baseline,national_origin,disparate_impact_ratio,1.3340915224444816,1,3
benefits_denial,baseline,national_origin,equal_opportunity_diff,0.15897435897435894,1,3
benefits_denial,baseline,national_origin,equalized_odds_diff,0.15897435897435894,1,3
benefits_denial,baseline,national_origin,predictive_parity_diff,-0.04689424537103315,1,3
benefits_denial,baseline,national_origin_x_age,intersectional_demographic_parity_diff,0.10274459222939802,1,3
benefits_denial,baseline,national_origin_x_race,intersectional_demographic_parity_diff,-0.02346196868008947,2,3
benefits_denial,baseline,race,accuracy_equality_diff,0.07958794087414474,3,3
benefits_denial,baseline,race,demographic_parity_diff,-0.08694308178213829,3,3
benefits_denial,baseline,race,disparate_impact_ratio,0.5442855455294163,3,3
benefits_denial,baseline,race,equal_opportunity_diff,-0.005722789394784877,0,3
benefits_denial,baseline,race,equalized_odds_diff,-0.006158852030641972,1,3
benefits_denial,baseline,race,predictive_parity_diff,-0.07257627631949055,1,3
benefits_denial,baseline,sex,accuracy_equality_diff,0.11817522949983739,3,3
benefits_denial,baseline,sex,demographic_parity_diff,-0.15458633923790288,3,3
benefits_denial,baseline,sex,disparate_impact_ratio,0.30601444489045937,3,3
benefits_denial,baseline,sex,equal_opportunity_diff,-0.0998673153471915,2,3
benefits_denial,baseline,sex,equalized_odds_diff,-0.10526546187252335,3,3
benefits_denial,baseline,sex,predictive_parity_diff,-0.040446587628311305,1,3
benefits_denial,baseline,sex_x_age,intersectional_demographic_parity_diff,-0.13382107560005133,3,3
benefits_denial,baseline,sex_x_national_origin,intersectional_demographic_parity_diff,-0.15304590596619636,3,3
benefits_denial,baseline,sex_x_race,intersectional_demographic_parity_diff,-0.17629829099198055,3,3
benefits_denial,in_processing,age,accuracy_equality_diff,-0.0636524652713315,3,3
benefits_denial,in_processing,age,demographic_parity_diff,0.026463395024718145,2,3
benefits_denial,in_processing,age,disparate_impact_ratio,1.4075994287789408,2,3
benefits_denial,in_processing,age,equal_opportunity_diff,-0.005745341614906835,0,3
benefits_denial,in_processing,age,equalized_odds_diff,-0.0027832561280419963,1,3
benefits_denial,in_processing,age,predictive_parity_diff,-0.060806935388602344,2,3
benefits_denial,in_processing,age_x_race,intersectional_demographic_parity_diff,0.009342822902144938,1,3
benefits_denial,in_processing,national_origin,accuracy_equality_diff,0.03420318062348208,1,3
benefits_denial,in_processing,national_origin,demographic_parity_diff,-0.0028048374754632843,0,3
benefits_denial,in_processing,national_origin,disparate_impact_ratio,0.9701070192650847,0,3
benefits_denial,in_processing,national_origin,equal_opportunity_diff,0.019759467585554524,0,3
benefits_denial,in_processing,national_origin,equalized_odds_diff,0.020184123472445165,0,3
benefits_denial,in_processing,national_origin,predictive_parity_diff,-0.058994861617599335,0,3
benefits_denial,in_processing,national_origin_x_age,intersectional_demographic_parity_diff,0.03428224690047995,0,3
benefits_denial,in_processing,national_origin_x_race,intersectional_demographic_parity_diff,0.0181727388942154,0,3
benefits_denial,in_processing,race,accuracy_equality_diff,0.10554871113301323,3,3
benefits_denial,in_processing,race,demographic_parity_diff,-0.015469141609857956,0,3
benefits_denial,in_processing,race,disparate_impact_ratio,0.8043701764602568,1,3
benefits_denial,in_processing,race,equal_opportunity_diff,0.0765792382015341,1,3
benefits_denial,in_processing,race,equalized_odds_diff,0.0765792382015341,1,3
benefits_denial,in_processing,race,predictive_parity_diff,-0.1708829589591838,2,3
benefits_denial,in_processing,sex,accuracy_equality_diff,0.14590184949242288,3,3
benefits_denial,in_processing,sex,demographic_parity_diff,-0.022111490829239053,2,3
benefits_denial,in_processing,sex,disparate_impact_ratio,0.7329595413513145,2,3
benefits_denial,in_processing,sex,equal_opportunity_diff,0.08145363408521304,2,3
benefits_denial,in_processing,sex,equalized_odds_diff,0.08145363408521304,2,3
benefits_denial,in_processing,sex,predictive_parity_diff,-0.2751470812855598,3,3
benefits_denial,in_processing,sex_x_age,intersectional_demographic_parity_diff,0.004150087708039196,0,3
benefits_denial,in_processing,sex_x_national_origin,intersectional_demographic_parity_diff,-0.029933906590643822,0,3
benefits_denial,in_processing,sex_x_race,intersectional_demographic_parity_diff,-0.02047827422078919,1,3
benefits_denial,post_processing,age,accuracy_equality_diff,-0.05490384878762885,3,3
benefits_denial,post_processing,age,demographic_parity_diff,0.022462484009037106,2,3
benefits_denial,post_processing,age,disparate_impact_ratio,1.2285580834620606,2,3
benefits_denial,post_processing,age,equal_opportunity_diff,-0.016666666666666663,0,3
benefits_denial,post_processing,age,equalized_odds_diff,-0.012364396773823878,0,3
benefits_denial,post_processing,age,predictive_parity_diff,-0.004751320904630559,0,3
benefits_denial,post_processing,age_x_race,intersectional_demographic_parity_diff,-0.029581529581529584,0,3
benefits_denial,post_processing,national_origin,accuracy_equality_diff,0.03266942808663539,2,3
benefits_denial,post_processing,national_origin,demographic_parity_diff,0.004443224540040591,0,3
benefits_denial,post_processing,national_origin,disparate_impact_ratio,1.0459158585477135,0,3
benefits_denial,post_processing,national_origin,equal_opportunity_diff,0.052167156514982604,0,3
benefits_denial,post_processing,national_origin,equalized_odds_diff,0.052167156514982604,0,3
benefits_denial,post_processing,national_origin,predictive_parity_diff,-0.06917362245089116,0,3
benefits_denial,post_processing,national_origin_x_age,intersectional_demographic_parity_diff,0.033628954060630455,0,3
benefits_denial,post_processing,national_origin_x_race,intersectional_demographic_parity_diff,0.02633429210610419,0,3
benefits_denial,post_processing,race,accuracy_equality_diff,0.09965404555149866,3,3
benefits_denial,post_processing,race,demographic_parity_diff,-0.03750668886748451,3,3
benefits_denial,post_processing,race,disparate_impact_ratio,0.6480482448284443,3,3
benefits_denial,post_processing,race,equal_opportunity_diff,0.05660418649946932,0,3
benefits_denial,post_processing,race,equalized_odds_diff,0.05660418649946932,0,3
benefits_denial,post_processing,race,predictive_parity_diff,-0.11615046270723221,1,3
benefits_denial,post_processing,sex,accuracy_equality_diff,0.10821213838595178,3,3
benefits_denial,post_processing,sex,demographic_parity_diff,0.004211036161759926,0,3
benefits_denial,post_processing,sex,disparate_impact_ratio,1.0389360203329918,0,3
benefits_denial,post_processing,sex,equal_opportunity_diff,0.15748194014447883,3,3
benefits_denial,post_processing,sex,equalized_odds_diff,0.15748194014447883,3,3
benefits_denial,post_processing,sex,predictive_parity_diff,-0.4227974769507698,3,3
benefits_denial,post_processing,sex_x_age,intersectional_demographic_parity_diff,0.016433491635647963,0,3
benefits_denial,post_processing,sex_x_national_origin,intersectional_demographic_parity_diff,0.004461168987469298,0,3
benefits_denial,post_processing,sex_x_race,intersectional_demographic_parity_diff,-0.028687201533816,1,3
benefits_denial,unawareness,age,accuracy_equality_diff,-0.04617368341494935,3,3
benefits_denial,unawareness,age,demographic_parity_diff,0.03324649264035272,1,3
benefits_denial,unawareness,age,disparate_impact_ratio,1.255508465621957,1,3
benefits_denial,unawareness,age,equal_opportunity_diff,-0.021221532091097322,1,3
benefits_denial,unawareness,age,equalized_odds_diff,-0.021221532091097322,1,3
benefits_denial,unawareness,age,predictive_parity_diff,0.012014197055162676,0,3
benefits_denial,unawareness,age_x_race,intersectional_demographic_parity_diff,-0.03143419668843398,1,3
benefits_denial,unawareness,national_origin,accuracy_equality_diff,0.04386224506770472,3,3
benefits_denial,unawareness,national_origin,demographic_parity_diff,-0.01659305652593407,0,3
benefits_denial,unawareness,national_origin,disparate_impact_ratio,0.9007310511957467,0,3
benefits_denial,unawareness,national_origin,equal_opportunity_diff,0.06526130873956959,0,3
benefits_denial,unawareness,national_origin,equalized_odds_diff,0.06526130873956959,0,3
benefits_denial,unawareness,national_origin,predictive_parity_diff,0.020088021278155416,0,3
benefits_denial,unawareness,national_origin_x_age,intersectional_demographic_parity_diff,0.01468422400702537,0,3
benefits_denial,unawareness,national_origin_x_race,intersectional_demographic_parity_diff,-0.03525886864813038,0,3
benefits_denial,unawareness,race,accuracy_equality_diff,0.0772603394335805,3,3
benefits_denial,unawareness,race,demographic_parity_diff,-0.07490635585521681,3,3
benefits_denial,unawareness,race,disparate_impact_ratio,0.5801930536902997,3,3
benefits_denial,unawareness,race,equal_opportunity_diff,0.0024401186138376016,0,3
benefits_denial,unawareness,race,equalized_odds_diff,-0.00017908749714865002,1,3
benefits_denial,unawareness,race,predictive_parity_diff,-0.12286902883439159,2,3
benefits_denial,unawareness,sex,accuracy_equality_diff,0.12261690181256224,3,3
benefits_denial,unawareness,sex,demographic_parity_diff,-0.14393258251412225,3,3
benefits_denial,unawareness,sex,disparate_impact_ratio,0.32962084607296577,3,3
benefits_denial,unawareness,sex,equal_opportunity_diff,-0.08494766327583665,2,3
benefits_denial,unawareness,sex,equalized_odds_diff,-0.09661555013223881,3,3
benefits_denial,unawareness,sex,predictive_parity_diff,-0.07393939515707747,1,3
benefits_denial,unawareness,sex_x_age,intersectional_demographic_parity_diff,-0.1247251101698541,3,3
benefits_denial,unawareness,sex_x_national_origin,intersectional_demographic_parity_diff,-0.16019147302441336,3,3
benefits_denial,unawareness,sex_x_race,intersectional_demographic_parity_diff,-0.15884453971740933,3,3
benefits_denial,unawareness_proxy_removal,age,accuracy_equality_diff,-0.050679749075034995,3,3
benefits_denial,unawareness_proxy_removal,age,demographic_parity_diff,0.02891517358500902,3,3
